Nome,Estrelas,Criado Em,Última Atualização,Tamanho (KB)
Snailclimb/JavaGuide,148712,2018-05-07T13:27:00Z,2025-03-13T02:14:08Z,176617
krahets/hello-algo,110274,2022-11-04T11:08:34Z,2025-03-14T09:56:41Z,358488
iluwatar/java-design-patterns,90999,2014-08-09T16:45:18Z,2025-03-11T19:47:43Z,36269
macrozheng/mall,79490,2018-04-04T01:11:44Z,2025-03-10T08:32:04Z,58699
doocs/advanced-java,77238,2018-10-06T11:38:30Z,2025-03-10T22:25:04Z,33605
spring-projects/spring-boot,76455,2012-10-19T15:02:57Z,2025-03-15T00:24:56Z,184839
MisterBooo/LeetCodeAnimation,75769,2018-12-06T08:01:22Z,2023-08-14T12:14:01Z,509807
elastic/elasticsearch,71997,2010-02-08T13:20:56Z,2025-03-16T23:13:33Z,1379118
kdn251/interviews,64016,2017-02-14T18:19:25Z,2024-05-13T08:48:36Z,24091
TheAlgorithms/Java,61093,2016-07-16T10:21:02Z,2025-03-14T23:52:56Z,5569
spring-projects/spring-framework,57555,2010-12-08T04:04:45Z,2025-03-16T15:15:37Z,222175
NationalSecurityAgency/ghidra,55376,2019-03-01T03:27:48Z,2025-03-13T15:11:15Z,380525
Stirling-Tools/Stirling-PDF,54184,2023-01-27T18:22:42Z,2025-03-17T00:15:32Z,81201
google/guava,50586,2014-05-29T16:23:17Z,2025-03-14T17:46:13Z,537793
ReactiveX/RxJava,48042,2013-01-08T20:11:48Z,2025-03-10T08:34:15Z,143562
skylot/jadx,43185,2013-03-18T17:08:21Z,2025-03-14T16:13:32Z,23127
dbeaver/dbeaver,42261,2015-10-21T08:26:28Z,2025-03-15T17:21:35Z,192860
jeecgboot/JeecgBoot,41864,2018-11-26T10:40:00Z,2025-03-16T08:04:54Z,71667
apache/dubbo,40818,2012-06-19T07:56:02Z,2025-03-14T13:37:17Z,59571
termux/termux-app,39772,2015-10-23T09:42:46Z,2025-03-15T06:26:11Z,4408
PhilJay/MPAndroidChart,37862,2014-04-25T14:29:47Z,2024-08-20T14:01:30Z,21720
eugenp/tutorials,37082,2013-04-29T18:26:36Z,2025-03-16T11:13:04Z,108445
alibaba/arthas,36056,2018-08-29T17:15:57Z,2025-03-12T02:52:54Z,55354
geekxh/hello-algorithm,35511,2020-05-29T05:47:09Z,2023-06-13T04:13:17Z,365053
airbnb/lottie-android,35238,2016-10-06T22:42:42Z,2025-03-04T01:41:10Z,137128
halo-dev/halo,34976,2018-03-21T12:56:52Z,2025-03-13T10:25:04Z,76202
bumptech/glide,34816,2013-07-08T22:52:33Z,2025-02-13T19:00:51Z,97220
netty/netty,33874,2010-11-09T09:22:21Z,2025-03-16T23:08:15Z,94333
Blankj/AndroidUtilCode,33489,2016-07-30T18:18:32Z,2024-08-15T10:38:10Z,47329
xkcoding/spring-boot-demo,33486,2017-11-10T06:27:29Z,2024-07-24T02:02:52Z,14194
doocs/leetcode,33289,2018-09-16T14:03:03Z,2025-03-17T00:34:42Z,16738292
TeamNewPipe/NewPipe,33226,2015-09-03T23:39:26Z,2025-03-16T21:08:23Z,79284
alibaba/easyexcel,33200,2018-02-06T03:14:08Z,2024-10-29T06:07:07Z,26334
zxing/zxing,33156,2011-10-12T14:07:27Z,2025-02-10T14:22:04Z,242772
SeleniumHQ/selenium,31833,2013-01-14T21:40:56Z,2025-03-17T00:38:34Z,2261319
alibaba/nacos,30987,2018-06-15T06:49:27Z,2025-03-14T03:37:07Z,61377
binarywang/WxJava,30726,2016-01-06T08:24:05Z,2025-03-06T12:56:12Z,18101
ityouknow/spring-boot-examples,30401,2016-11-05T05:32:33Z,2023-11-18T16:32:16Z,1074
YunaiV/ruoyi-vue-pro,29661,2021-01-24T03:18:25Z,2025-03-16T09:27:16Z,176789
apache/kafka,29659,2011-08-15T18:06:16Z,2025-03-16T19:37:20Z,237269
chinabugotech/hutool,29613,2014-04-13T07:23:51Z,2025-03-11T01:26:07Z,66746
apolloconfig/apollo,29380,2016-03-04T10:24:23Z,2025-03-03T01:09:29Z,56556
alibaba/canal,28887,2013-01-13T10:59:52Z,2025-01-24T09:14:41Z,24088
wuyouzhuguli/SpringAll,28659,2018-05-02T02:48:44Z,2024-05-31T14:56:35Z,1069
xuxueli/xxl-job,28445,2015-11-28T12:59:34Z,2025-03-04T14:58:05Z,37481
alibaba/spring-cloud-alibaba,28307,2017-12-01T20:49:15Z,2024-12-04T01:22:42Z,55608
alibaba/druid,28088,2011-11-03T05:12:51Z,2025-03-13T06:36:15Z,88619
lenve/vhr,27651,2018-01-04T08:57:51Z,2024-11-25T00:07:39Z,8480
crossoverJie/JCSprout,27104,2017-12-17T09:06:50Z,2024-05-21T02:46:20Z,1191
qiurunze123/miaosha,26276,2018-09-14T04:36:24Z,2024-06-06T19:31:57Z,65689
keycloak/keycloak,25955,2013-07-02T13:38:51Z,2025-03-17T01:03:14Z,534215
DrKLO/Telegram,25902,2013-10-25T14:08:10Z,2025-03-10T13:39:33Z,498048
alibaba/fastjson,25775,2011-11-03T06:58:52Z,2024-07-16T07:35:37Z,15513
apache/incubator-seata,25544,2018-12-28T08:37:22Z,2025-03-16T12:25:12Z,25945
JakeWharton/butterknife,25532,2013-03-05T08:18:59Z,2023-09-02T07:41:30Z,3909
hollischuang/toBeTopJavaer,25421,2018-10-25T09:54:54Z,2024-01-03T13:58:24Z,8004
scwang90/SmartRefreshLayout,25048,2017-06-02T09:52:50Z,2024-12-04T12:28:17Z,274026
proxyee-down-org/proxyee-down,24905,2017-10-25T10:07:27Z,2024-07-16T09:22:28Z,26864
greenrobot/EventBus,24739,2012-07-16T16:55:40Z,2024-02-21T18:18:34Z,1742
apache/flink,24634,2014-06-07T07:00:10Z,2025-03-14T09:22:46Z,521262
Netflix/Hystrix,24261,2012-11-19T20:14:46Z,2023-10-17T13:04:47Z,9799
apache/skywalking,24152,2015-11-07T03:30:36Z,2025-03-16T09:49:44Z,172772
libgdx/libgdx,23820,2012-08-10T19:34:38Z,2025-03-16T17:35:47Z,1105290
bazelbuild/bazel,23777,2014-06-12T16:00:38Z,2025-03-15T00:00:50Z,963304
jenkinsci/jenkins,23752,2010-11-22T21:21:23Z,2025-03-16T13:34:21Z,163766
redisson/redisson,23664,2014-01-11T14:06:25Z,2025-03-14T15:45:09Z,30393
google/gson,23614,2015-03-19T18:21:20Z,2025-03-16T15:54:35Z,13576
Anuken/Mindustry,23473,2017-04-30T01:24:29Z,2025-03-09T14:19:18Z,1852981
OpenAPITools/openapi-generator,23091,2018-05-12T09:57:56Z,2025-03-16T14:03:04Z,907546
alibaba/Sentinel,22628,2018-04-04T06:37:33Z,2024-10-24T12:34:45Z,8335
