file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\audit\operator\impl\ProjectAuditOperatorImpl.java,org.apache.dolphinscheduler.api.audit.operator.impl.ProjectAuditOperatorImpl,class,6,7,1,6,3,2,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,11,2,0,2,0,0,2,1,2,0,3,1,0,0,0,18,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\ServerAlertContent.java,org.apache.dolphinscheduler.dao.entity.ServerAlertContent,class,4,6,2,4,2,1,0,0,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,4,0,0,0,0,4,4,0,0,40,1,0,0,0,0,4,0,4,0,4,0,0,1,0,16,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\WorkflowLineageController.java,org.apache.dolphinscheduler.api.controller.WorkflowLineageController,class,25,26,1,25,7,2,0,16,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,4,41,6,0,0,1,0,44,0,10,0,10,1,0,0,0,86,1,1
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\dto\ScheduleParam.java,org.apache.dolphinscheduler.api.dto.ScheduleParam,class,0,1,1,0,11,1,0,0,13,0.6363636,0.38181818,0.8181818,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,41,5,0,0,0,0,5,0,8,2,4,0,0,0,0,19,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-dao\src\test\java\org\apache\dolphinscheduler\dao\mapper\PluginDefineTest.java,org.apache.dolphinscheduler.dao.mapper.PluginDefineTest,class,6,7,1,6,6,2,0,12,0,0.0,1.0,1.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,26,1,0,0,0,0,3,3,6,0,7,0,0,0,0,20,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-common\src\main\java\org\apache\dolphinscheduler\common\enums\RunMode.java,org.apache.dolphinscheduler.common.enums.RunMode,enum,1,2,1,1,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,2,2,2,0,2,0,0,0,0,27,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-common\src\main\java\org\apache\dolphinscheduler\common\exception\StorageOperateNoConfiguredException.java,org.apache.dolphinscheduler.common.exception.StorageOperateNoConfiguredException,class,0,1,1,0,5,4,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\executor\workflow\StopWorkflowInstanceExecutorDelegate.java,org.apache.dolphinscheduler.api.executor.workflow.StopWorkflowInstanceExecutorDelegate,class,13,17,4,13,11,1,0,18,10,0.8,0.0,0.0,5,0,1,0,0,4,5,0,0,0,1,0,0,1,0,0,0,0,1,64,3,0,1,1,0,8,0,3,2,4,2,0,1,0,39,1,2
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\UserWithWorkflowDefinitionCode.java,org.apache.dolphinscheduler.dao.entity.UserWithWorkflowDefinitionCode,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,17,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\dolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\FavTask.java,org.apache.dolphinscheduler.dao.entity.FavTask,class,6,6,0,6,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,9,1,0
