file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\agent\hippo4j-agent-core\src\main\java\cn\hippo4j\agent\core\plugin\bytebuddy\AbstractJunction.java,cn.hippo4j.agent.core.plugin.bytebuddy.AbstractJunction,class,5,6,1,5,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\agent\hippo4j-agent-core\src\main\java\cn\hippo4j\agent\core\plugin\match\logical\LogicalMatchOperation.java,cn.hippo4j.agent.core.plugin.match.logical.LogicalMatchOperation$Anonymous1,anonymous,4,4,0,4,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\agent\hippo4j-agent-plugin\spring-plugins\spring-boot-1x-plugin\src\main\java\cn\hippo4j\agent\plugin\spring\boot\v1\define\EventPublishingRunListenerInstrumentationV1.java,cn.hippo4j.agent.plugin.spring.boot.v1.define.EventPublishingRunListenerInstrumentationV1$Anonymous1,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,28,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\agent\hippo4j-agent-core\src\main\java\cn\hippo4j\agent\core\plugin\interceptor\enhance\v2\InstMethodsInterV2.java,cn.hippo4j.agent.core.plugin.interceptor.enhance.v2.InstMethodsInterV2,class,13,15,2,13,8,1,0,12,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,1,49,1,0,0,5,0,4,0,8,0,5,2,0,0,0,54,1,3
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\agent\hippo4j-agent-core\src\main\java\cn\hippo4j\agent\core\plugin\match\PrefixMatch.java,cn.hippo4j.agent.core.plugin.match.PrefixMatch,class,5,6,1,5,10,1,0,4,0,0.0,1.0,1.0,4,1,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,32,4,2,3,0,0,2,1,4,0,2,2,0,0,0,30,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\agent\hippo4j-agent-core\src\main\java\cn\hippo4j\agent\core\plugin\interceptor\enhance\InstanceMethodsAroundInterceptor.java,cn.hippo4j.agent.core.plugin.interceptor.enhance.InstanceMethodsAroundInterceptor,interface,2,9,7,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\agent\hippo4j-agent-core\src\main\java\cn\hippo4j\agent\core\plugin\interceptor\v2\ConstructorInterceptV2Point.java,cn.hippo4j.agent.core.plugin.interceptor.v2.ConstructorInterceptV2Point,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\examples\threadpool-example\config\config-apollo\src\main\java\cn\hippo4j\example\config\apollo\ConfigApolloExampleApplication.java,cn.hippo4j.example.config.apollo.ConfigApolloExampleApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\agent\hippo4j-agent-core\src\main\java\cn\hippo4j\agent\core\plugin\loader\InstrumentationLoader.java,cn.hippo4j.agent.core.plugin.loader.InstrumentationLoader,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\hippo4j\agent\hippo4j-agent-core\src\main\java\cn\hippo4j\agent\core\plugin\interceptor\enhance\InstanceConstructorInterceptor.java,cn.hippo4j.agent.core.plugin.interceptor.enhance.InstanceConstructorInterceptor,interface,1,6,5,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
