file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\common\src\main\java\org\keycloak\common\util\StringSerialization.java,org.keycloak.common.util.StringSerialization$DeSerializerFunction$Anonymous1,anonymous,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\common\src\main\java\org\keycloak\common\util\StringSerialization.java,org.keycloak.common.util.StringSerialization$DeSerializerFunction$Anonymous2,anonymous,0,0,0,0,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\authz\client\src\main\java\org\keycloak\authorization\client\resource\PermissionResource.java,org.keycloak.authorization.client.resource.PermissionResource$Anonymous10$Anonymous11,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\common\src\test\java\org\keycloak\common\util\Base64DecodeTest.java,org.keycloak.common.util.Base64DecodeTest,class,3,3,0,3,13,1,0,8,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,94,0,0,0,8,0,16,73,18,0,18,1,0,0,0,39,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\core\src\main\java\org\keycloak\representations\provider\ScriptProviderMetadata.java,org.keycloak.representations.provider.ScriptProviderMetadata,class,1,2,1,1,12,1,0,0,44,0.7833333,0.16666667,0.34848484,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,44,5,0,0,0,0,0,0,8,0,5,0,0,0,0,15,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\core\src\main\java\org\keycloak\representations\idm\SynchronizationResultRepresentation.java,org.keycloak.representations.idm.SynchronizationResultRepresentation,class,0,0,0,0,13,1,0,0,66,0.8461538,0.07692308,0.07692308,13,0,13,0,0,0,13,0,0,0,6,0,0,6,0,0,0,0,0,46,6,0,0,0,0,0,0,6,0,6,0,0,0,0,21,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\crypto\elytron\src\main\java\org\keycloak\crypto\elytron\ElytronOCSPProvider.java,org.keycloak.crypto.elytron.ElytronOCSPProvider$Anonymous1,anonymous,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\crypto\default\src\main\java\org\keycloak\crypto\def\AesKeyWrapAlgorithmProvider.java,org.keycloak.crypto.def.AesKeyWrapAlgorithmProvider,class,9,11,2,9,2,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,2,3,0,3,0,0,0,0,29,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\adapters\spi\adapter-spi\src\main\java\org\keycloak\adapters\spi\SessionIdMapperUpdater.java,org.keycloak.adapters.spi.SessionIdMapperUpdater$Anonymous1,anonymous,1,1,0,1,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\keycloak\authz\policy\common\src\main\java\org\keycloak\authorization\policy\provider\permission\UMAPolicyProviderFactory.java,org.keycloak.authorization.policy.provider.permission.UMAPolicyProviderFactory,class,22,23,1,22,84,1,0,74,188,0.9,0.00952381,0.00952381,20,0,15,5,0,0,15,0,0,0,1,0,0,1,0,0,0,0,1,303,8,24,15,0,0,16,0,54,0,49,4,0,0,0,74,1,0
