file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\minifi\minifi-toolkit\minifi-toolkit-schema\src\main\java\org\apache\nifi\minifi\toolkit\schema\PortSchema.java,org.apache.nifi.minifi.toolkit.schema.PortSchema,class,1,7,6,1,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\c2\c2-client-bundle\c2-client-http\src\main\java\org\apache\nifi\c2\client\http\url\C2UrlProviderFactory.java,org.apache.nifi.c2.client.http.url.C2UrlProviderFactory,class,4,6,2,4,4,1,0,6,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,0,18,2,0,0,0,0,3,0,2,1,2,1,0,0,0,37,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\nifi-commons\nifi-expression-language\src\main\java\org\apache\nifi\attribute\expression\language\evaluation\functions\PaddingEvaluator.java,org.apache.nifi.attribute.expression.language.evaluation.functions.PaddingEvaluator,class,6,9,3,6,11,2,2,7,0,0.5,0.5,0.5,4,0,2,0,1,1,4,1,0,0,4,1,1,3,0,0,4,0,0,33,4,0,4,0,0,1,1,9,0,8,2,0,0,0,35,1024,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\nifi-extension-bundles\nifi-azure-bundle\nifi-azure-reporting-task\src\main\java\org\apache\nifi\reporting\azure\loganalytics\AzureLogAnalyticsReportingTask.java,org.apache.nifi.reporting.azure.loganalytics.AzureLogAnalyticsReportingTask,class,16,19,3,16,16,3,2,43,15,0.8333333,0.0,0.0,6,0,1,2,3,0,4,0,0,0,5,4,0,3,0,2,5,0,5,82,2,6,1,1,0,18,0,25,1,23,3,0,0,0,149,1,1
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\c2\c2-client-bundle\c2-client-http\src\test\java\org\apache\nifi\c2\client\http\url\C2UrlProviderFactoryTest.java,org.apache.nifi.c2.client.http.url.C2UrlProviderFactoryTest,class,10,10,0,10,4,1,0,11,0,0.05,1.0,1.0,4,0,4,0,0,0,4,0,0,0,5,3,0,5,0,0,3,0,0,34,0,0,0,0,0,3,0,6,5,8,0,0,0,0,47,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\nifi-commons\nifi-swagger-integration\src\main\java\org\apache\nifi\swagger\integration\StandardObjectMapperProcessor.java,org.apache.nifi.swagger.integration.StandardObjectMapperProcessor,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\nifi-extension-bundles\nifi-cdc\nifi-cdc-mysql-bundle\nifi-cdc-mysql-processors\src\main\java\org\apache\nifi\cdc\mysql\event\RawBinlogEvent.java,org.apache.nifi.cdc.mysql.event.RawBinlogEvent,class,1,3,2,1,4,1,0,0,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,17,2,0,0,0,0,0,0,3,0,2,0,0,0,0,13,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\nifi-commons\nifi-record\src\main\java\org\apache\nifi\serialization\record\DataType.java,org.apache.nifi.serialization.record.DataType,class,4,23,19,4,13,1,6,7,24,0.75,0.071428575,0.10714286,8,0,7,0,1,0,8,0,0,0,2,0,0,2,0,0,2,0,1,43,10,0,4,0,2,1,4,3,5,3,1,0,0,0,26,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\nifi-commons\nifi-utils\src\main\java\org\apache\nifi\util\concurrency\DebuggableTimedLock.java,org.apache.nifi.util.concurrency.DebuggableTimedLock,interface,0,3,3,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\nifi\nifi-extension-bundles\nifi-aws-bundle\nifi-aws-processors\src\main\java\org\apache\nifi\processors\aws\kinesis\stream\record\converter\RecordConverterIdentity.java,org.apache.nifi.processors.aws.kinesis.stream.record.converter.RecordConverterIdentity,class,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
