file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\BytecodeRecorderConstantDefinitionBuildItem.java,io.quarkus.deployment.builditem.BytecodeRecorderConstantDefinitionBuildItem,class,4,4,0,4,2,3,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,1,0,1,0,0,1,0,49,17,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\builder\src\main\java\io\quarkus\builder\Json.java,io.quarkus.builder.Json$JsonArrayBuilder,innerclass,10,10,0,10,27,2,0,27,71,0.64285713,0.07692308,0.07692308,14,0,4,1,1,8,13,0,0,0,1,0,0,1,0,0,1,0,3,98,10,1,3,0,3,0,2,9,0,9,2,0,0,0,49,9,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\ide\IdeProcessor.java,io.quarkus.deployment.ide.IdeProcessor$ProcessInfo,innerclass,0,0,0,0,13,1,0,1,0,0.5238095,0.5,1.0,7,0,4,3,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,42,8,2,2,0,0,0,0,3,0,3,3,0,0,0,18,10,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\nativeimage\ReflectiveHierarchyBuildItem.java,io.quarkus.deployment.builditem.nativeimage.ReflectiveHierarchyBuildItem$IgnoreAllowListedPredicate,innerclass,2,2,0,2,1,1,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,9,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\launcher\src\main\java\io\quarkus\launcher\JBangIntegration.java,io.quarkus.launcher.JBangIntegration,class,3,4,1,3,9,1,0,31,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,9,79,2,3,1,1,0,14,3,13,2,13,3,1,0,0,46,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\runtime\src\main\java\io\quarkus\runtime\configuration\DisableableConfigSource.java,io.quarkus.runtime.configuration.DisableableConfigSource$Anonymous1,anonymous,0,0,0,0,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\runtime\src\main\java\io\quarkus\runtime\graal\Target_io_smallrye_common_net_Inet.java,io.quarkus.runtime.graal.Target_io_smallrye_common_net_Inet,class,9,9,0,9,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,27,16,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\devtools\gradle\gradle-model\src\main\java\io\quarkus\gradle\tooling\dependency\ExtensionDependency.java,io.quarkus.gradle.tooling.dependency.ExtensionDependency,class,7,16,9,7,25,1,0,17,36,0.75490195,0.42857143,0.75238097,17,1,15,2,0,0,15,0,0,0,6,0,0,6,0,0,5,0,7,79,18,1,5,0,0,4,0,9,1,13,2,0,0,4,50,1025,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\DevServicesAdditionalConfigBuildItem.java,io.quarkus.deployment.builditem.DevServicesAdditionalConfigBuildItem$DevServicesAdditionalConfigProvider,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\RunTimeConfigBuilderBuildItem.java,io.quarkus.deployment.builditem.RunTimeConfigBuilderBuildItem,class,1,1,0,1,3,3,0,1,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,17,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\processor\src\main\java\io\quarkus\annotation\processor\documentation\config\discovery\DiscoveryConfigGroup.java,io.quarkus.annotation.processor.documentation.config.discovery.DiscoveryConfigGroup,class,2,9,7,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\console\ConsoleStateManager.java,io.quarkus.deployment.console.ConsoleStateManager,class,13,19,6,13,50,1,0,73,83,0.86666673,0.0,0.0,15,5,6,7,0,2,8,0,0,0,7,2,1,5,0,1,2,0,17,310,12,8,10,0,4,49,8,30,10,26,4,4,2,12,108,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\devmode-spi\src\main\java\io\quarkus\dev\console\DevConsoleManager.java,io.quarkus.dev.console.DevConsoleManager,class,6,7,1,6,18,1,0,13,82,0.8214286,0.14166667,0.55833334,16,16,16,0,0,0,16,0,0,0,7,7,0,7,0,0,1,0,3,74,7,0,2,0,0,2,2,13,0,9,1,0,0,0,129,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\runtime\src\main\java\io\quarkus\runtime\graal\AwtImageIO.java,io.quarkus.runtime.graal.Target_sun_font_FontManagerNativeLibrary,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,16,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\dev\testing\TestListener.java,io.quarkus.deployment.dev.testing.TestListener,interface,2,7,5,2,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\test\java\io\quarkus\deployment\util\JandexUtilTest.java,io.quarkus.deployment.util.JandexUtilTest$ArrayRepo,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\runtime\src\main\java\io\quarkus\runtime\logging\LoggingSetupRecorder.java,io.quarkus.runtime.logging.LoggingSetupRecorder,class,45,46,1,45,128,1,0,231,209,0.8409091,0.035714287,0.035714287,22,18,8,14,0,0,8,0,0,0,2,1,0,1,0,1,2,0,69,620,25,18,24,4,2,24,8,122,5,92,4,7,2,0,215,1,13
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\runner\bootstrap\RunningQuarkusApplicationImpl.java,io.quarkus.runner.bootstrap.RunningQuarkusApplicationImpl,class,4,5,1,4,12,1,0,16,0,0.5,1.0,1.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,2,0,7,79,5,0,2,4,0,8,0,17,0,16,2,0,0,0,33,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\steps\ShutdownListenerBuildStep.java,io.quarkus.deployment.steps.ShutdownListenerBuildStep,class,4,4,0,4,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\console\AeshConsole.java,io.quarkus.deployment.console.AeshConsole,class,18,23,5,18,102,2,0,97,136,0.8854167,0.30769232,0.72527474,24,0,11,10,0,3,14,0,0,0,24,6,3,19,0,2,11,0,14,517,24,16,29,9,4,30,64,95,19,71,6,4,1,4,236,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\devtools\cli\src\test\java\io\quarkus\cli\CliDriver.java,io.quarkus.cli.CliDriver,class,3,20,17,3,32,1,0,51,219,0.88888896,0.0,0.0,27,27,24,3,0,0,24,0,0,0,5,5,0,3,0,2,5,0,49,346,21,1,0,2,0,207,3,48,59,44,2,0,2,6,150,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\DevServicesConfigResultBuildItem.java,io.quarkus.deployment.builditem.DevServicesConfigResultBuildItem,class,1,1,0,1,3,3,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,2,0,0,14,2,0,0,0,0,1,0,2,0,2,0,0,0,0,50,17,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\util\FileUtil.java,io.quarkus.deployment.util.FileUtil,class,2,7,5,2,10,1,0,16,10,0.0,0.0,0.0,5,5,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,58,5,0,0,1,0,4,3,6,1,6,1,1,0,0,72,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\runtime\src\main\java\io\quarkus\runtime\shutdown\ShutdownRecorder.java,io.quarkus.runtime.shutdown.ShutdownRecorder,class,7,9,2,7,15,1,0,20,0,0.5,0.33333334,0.33333334,6,4,3,3,0,0,3,0,0,0,4,4,0,4,0,0,1,0,5,62,1,2,1,2,0,4,0,6,0,6,2,0,1,0,37,1,4
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\devtools\cli\src\test\java\io\quarkus\cli\deploy\CliDeployGradleTest.java,io.quarkus.cli.deploy.CliDeployGradleTest,class,8,9,1,8,9,1,0,23,9,0.6857143,0.2857143,0.47619048,7,4,4,0,1,2,7,0,0,0,5,4,0,0,0,5,3,0,16,93,1,0,1,0,0,100,4,16,17,11,1,0,0,0,59,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\pkg\builditem\LegacyJarRequiredBuildItem.java,io.quarkus.deployment.pkg.builditem.LegacyJarRequiredBuildItem,class,1,1,0,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\runner\bootstrap\AugmentActionImpl.java,io.quarkus.runner.bootstrap.AugmentActionImpl$BuildTask,innerclass,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,25,9,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\devtools\gradle\gradle-application-plugin\src\main\java\io\quarkus\gradle\tasks\QuarkusAddExtension.java,io.quarkus.gradle.tasks.QuarkusAddExtension,class,7,9,2,7,5,4,0,11,0,0.25,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,22,1,0,0,1,0,5,0,3,1,4,1,0,0,1,26,1025,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\test\java\io\quarkus\deployment\util\JandexUtilTest.java,io.quarkus.deployment.util.JandexUtilTest$GenericArrayRepo,innerclass,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\recording\BytecodeRecorderImpl.java,io.quarkus.deployment.recording.BytecodeRecorderImpl$Anonymous50$Anonymous51,anonymous,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\builder\src\main\java\io\quarkus\builder\item\BuildItem.java,io.quarkus.builder.item.BuildItem,class,0,9,9,0,3,1,3,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,2,1,1,2,1,1,0,0,0,60,1025,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\nativeimage\JniRuntimeAccessMethodBuildItem.java,io.quarkus.deployment.builditem.nativeimage.JniRuntimeAccessMethodBuildItem,class,3,4,1,3,17,3,0,15,0,0.2,0.93333334,1.0,10,0,10,0,0,0,10,0,0,0,3,0,0,0,0,3,3,0,5,63,7,3,3,0,0,0,6,26,2,10,2,0,0,0,42,17,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\devtools\gradle\gradle-application-plugin\src\main\java\io\quarkus\gradle\extension\SourceSetExtension.java,io.quarkus.gradle.extension.SourceSetExtension,class,1,3,2,1,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\devtools\cli\src\test\java\io\quarkus\cli\RegistryClientBuilderTestBase.java,io.quarkus.cli.RegistryClientBuilderTestBase,class,13,17,4,13,15,1,3,46,20,0.6888889,0.53333336,0.6666667,9,8,0,3,2,4,6,0,0,0,5,5,0,5,0,0,0,0,22,91,7,0,4,2,0,20,0,19,1,15,2,0,0,0,63,1025,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\deployment\src\main\java\io\quarkus\deployment\PlatformConfig.java,io.quarkus.deployment.PlatformConfig,interface,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,38,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\quarkus\core\devmode-spi\src\main\java\io\quarkus\dev\testing\GrpcWebSocketProxy.java,io.quarkus.dev.testing.GrpcWebSocketProxy,class,1,1,0,1,9,1,0,12,0,0.4666667,1.0,1.0,5,5,5,0,0,0,5,0,0,0,3,3,0,3,0,0,2,0,0,43,2,1,1,1,0,2,1,5,0,5,2,0,1,0,36,1,0
