file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\mcp\spring-ai-autoconfigure-mcp-client\src\test\java\org\springframework\ai\mcp\client\autoconfigure\SseWebFluxTransportAutoConfigurationTests.java,org.springframework.ai.mcp.client.autoconfigure.SseWebFluxTransportAutoConfigurationTests,class,4,4,0,4,3,1,0,9,0,0.0,1.0,1.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,0,21,0,0,0,0,0,6,0,1,0,4,1,0,0,3,26,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\mcp\spring-ai-autoconfigure-mcp-client\src\main\java\org\springframework\ai\mcp\client\autoconfigure\configurer\McpAsyncClientConfigurer.java,org.springframework.ai.mcp.client.autoconfigure.configurer.McpAsyncClientConfigurer,class,3,5,2,3,5,1,0,2,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,17,1,1,1,0,0,0,0,1,0,1,2,0,0,0,12,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\mcp\spring-ai-autoconfigure-mcp-client\src\main\java\org\springframework\ai\mcp\client\autoconfigure\StdioTransportAutoConfiguration.java,org.springframework.ai.mcp.client.autoconfigure.StdioTransportAutoConfiguration,class,11,12,1,11,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,2,0,2,0,2,1,0,0,0,73,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\mcp\spring-ai-autoconfigure-mcp-client\src\test\java\org\springframework\ai\mcp\client\autoconfigure\McpToolCallbackAutoconfigurationConditionTests.java,org.springframework.ai.mcp.client.autoconfigure.McpToolCallbackAutoconfigurationConditionTests$TestConfiguration,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,8,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\mcp\spring-ai-autoconfigure-mcp-client\src\main\java\org\springframework\ai\mcp\client\autoconfigure\properties\McpStdioClientProperties.java,org.springframework.ai.mcp.client.autoconfigure.properties.McpStdioClientProperties$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\mcp\spring-ai-autoconfigure-mcp-client\src\test\java\org\springframework\ai\mcp\client\autoconfigure\McpClientAutoConfigurationIT.java,org.springframework.ai.mcp.client.autoconfigure.McpClientAutoConfigurationIT$CustomizerConfiguration,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,1,0,0,1,6,8,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\mcp\spring-ai-autoconfigure-mcp-server\src\test\java\org\springframework\ai\mcp\server\autoconfigure\McpServerAutoConfigurationBackwardCompatibilityIT.java,org.springframework.ai.mcp.server.autoconfigure.McpServerAutoConfigurationBackwardCompatibilityIT$CustomCapabilitiesBuilder,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\mcp\spring-ai-autoconfigure-mcp-client\src\main\java\org\springframework\ai\mcp\client\autoconfigure\McpToolCallbackAutoConfiguration.java,org.springframework.ai.mcp.client.autoconfigure.McpToolCallbackAutoConfiguration$McpToolCallbackAutoconfigurationCondition$ToolCallbackProviderEnabled,innerclass,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,6,8,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\mcp\spring-ai-autoconfigure-mcp-server\src\test\java\org\springframework\ai\mcp\server\autoconfigure\McpServerAutoConfigurationBackwardCompatibilityIT.java,org.springframework.ai.mcp.server.autoconfigure.McpServerAutoConfigurationBackwardCompatibilityIT$CustomTransportConfiguration,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-ai\auto-configurations\common\spring-ai-autoconfigure-retry\src\test\java\org\springframework\ai\retry\autoconfigure\SpringAiRetryPropertiesTests.java,org.springframework.ai.retry.autoconfigure.SpringAiRetryPropertiesTests,class,5,5,0,5,2,1,0,19,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,7,12,2,1,4,1,0,0,2,25,1,0
