file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\main\java\org\springframework\cloud\kubernetes\client\config\reload\KubernetesClientConfigReloadAutoConfiguration.java,org.springframework.cloud.kubernetes.client.config.reload.KubernetesClientConfigReloadAutoConfiguration,class,36,37,1,36,4,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\main\java\org\springframework\cloud\kubernetes\client\config\KubernetesClientSecretsCache.java,org.springframework.cloud.kubernetes.client.config.KubernetesClientSecretsCache,class,9,15,6,9,7,1,0,23,4,0.625,1.0,1.0,4,3,1,2,0,1,2,0,0,0,2,2,0,2,0,0,2,0,2,33,4,0,0,1,0,4,3,5,2,7,2,0,0,5,67,1,2
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-autoconfig\src\test\java\org\springframework\cloud\kubernetes\client\ActuatorEnabledFailFastExceptionTest.java,org.springframework.cloud.kubernetes.client.ActuatorEnabledFailFastExceptionTest,class,11,12,1,11,3,1,0,14,1,0.6,0.0,0.0,3,1,0,1,0,2,2,0,0,0,5,4,0,5,0,0,2,0,0,39,0,0,0,0,0,8,0,9,0,10,0,0,1,4,44,0,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\main\java\org\springframework\cloud\kubernetes\client\config\KubernetesClientSecretsPropertySource.java,org.springframework.cloud.kubernetes.client.config.KubernetesClientSecretsPropertySource,class,9,14,5,9,6,2,0,13,8,0.6,0.0,0.0,5,3,2,3,0,0,3,0,0,0,1,1,0,1,0,0,1,0,4,23,3,0,0,0,0,1,0,2,1,3,0,0,0,2,41,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\KubernetesClientConfigDataLocationResolverTests.java,org.springframework.cloud.kubernetes.client.config.KubernetesClientConfigDataLocationResolverTests,class,23,23,0,23,4,1,0,17,0,0.33333334,1.0,1.0,4,0,0,0,0,4,4,0,0,0,3,3,0,3,0,0,3,0,0,96,0,0,0,0,0,22,0,29,1,29,0,0,0,0,87,0,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-autoconfig\src\test\java\org\springframework\cloud\kubernetes\client\KubernetesClientHealthIndicatorNotInsideTests.java,org.springframework.cloud.kubernetes.client.KubernetesClientHealthIndicatorNotInsideTests,class,7,7,0,7,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,1,18,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\main\java\org\springframework\cloud\kubernetes\client\config\KubernetesClientConfigMapPropertySourceLocator.java,org.springframework.cloud.kubernetes.client.config.KubernetesClientConfigMapPropertySourceLocator,class,12,19,7,12,2,2,0,4,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,2,0,1,15,1,0,0,0,0,0,1,5,0,5,0,0,0,0,32,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-autoconfig\src\test\java\org\springframework\cloud\kubernetes\client\KubernetesClientHealthIndicatorInsideTests.java,org.springframework.cloud.kubernetes.client.KubernetesClientHealthIndicatorInsideTests,class,6,6,0,6,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,1,0
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-autoconfig\src\main\java\org\springframework\cloud\kubernetes\client\KubernetesClientPodUtils.java,org.springframework.cloud.kubernetes.client.KubernetesClientPodUtils,class,6,12,6,6,19,1,0,17,6,0.6527778,0.5,0.5,8,0,4,4,0,0,4,0,0,0,9,3,2,7,0,0,9,0,2,73,7,0,3,1,0,12,0,16,5,10,3,0,0,0,98,1,5
C:\Users\jotaa\OneDrive\햞ea de Trabalho\repositorios\spring-cloud-kubernetes\spring-cloud-kubernetes-client-autoconfig\src\test\java\org\springframework\cloud\kubernetes\client\default_api\ApiClientUserAgentDefaultHeader.java,org.springframework.cloud.kubernetes.client.default_api.ApiClientUserAgentDefaultHeader,class,6,6,0,6,1,1,0,9,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,9,0,0,0,0,0,5,0,1,0,2,0,0,0,0,54,0,0
