name,stars,created_at,releases_url
Snailclimb/JavaGuide,148920,2018-05-07T13:27:00Z,https://api.github.com/repos/Snailclimb/JavaGuide/releases
krahets/hello-algo,111079,2022-11-04T11:08:34Z,https://api.github.com/repos/krahets/hello-algo/releases
iluwatar/java-design-patterns,91104,2014-08-09T16:45:18Z,https://api.github.com/repos/iluwatar/java-design-patterns/releases
macrozheng/mall,79694,2018-04-04T01:11:44Z,https://api.github.com/repos/macrozheng/mall/releases
doocs/advanced-java,77330,2018-10-06T11:38:30Z,https://api.github.com/repos/doocs/advanced-java/releases
spring-projects/spring-boot,76609,2012-10-19T15:02:57Z,https://api.github.com/repos/spring-projects/spring-boot/releases
MisterBooo/LeetCodeAnimation,75783,2018-12-06T08:01:22Z,https://api.github.com/repos/MisterBooo/LeetCodeAnimation/releases
elastic/elasticsearch,72141,2010-02-08T13:20:56Z,https://api.github.com/repos/elastic/elasticsearch/releases
kdn251/interviews,64046,2017-02-14T18:19:25Z,https://api.github.com/repos/kdn251/interviews/releases
TheAlgorithms/Java,61179,2016-07-16T10:21:02Z,https://api.github.com/repos/TheAlgorithms/Java/releases
spring-projects/spring-framework,57665,2010-12-08T04:04:45Z,https://api.github.com/repos/spring-projects/spring-framework/releases
NationalSecurityAgency/ghidra,55809,2019-03-01T03:27:48Z,https://api.github.com/repos/NationalSecurityAgency/ghidra/releases
Stirling-Tools/Stirling-PDF,55001,2023-01-27T18:22:42Z,https://api.github.com/repos/Stirling-Tools/Stirling-PDF/releases
google/guava,50623,2014-05-29T16:23:17Z,https://api.github.com/repos/google/guava/releases
ReactiveX/RxJava,48051,2013-01-08T20:11:48Z,https://api.github.com/repos/ReactiveX/RxJava/releases
skylot/jadx,43335,2013-03-18T17:08:21Z,https://api.github.com/repos/skylot/jadx/releases
dbeaver/dbeaver,42482,2015-10-21T08:26:28Z,https://api.github.com/repos/dbeaver/dbeaver/releases
jeecgboot/JeecgBoot,42058,2018-11-26T10:40:00Z,https://api.github.com/repos/jeecgboot/JeecgBoot/releases
apache/dubbo,40861,2012-06-19T07:56:02Z,https://api.github.com/repos/apache/dubbo/releases
termux/termux-app,40080,2015-10-23T09:42:46Z,https://api.github.com/repos/termux/termux-app/releases
PhilJay/MPAndroidChart,37877,2014-04-25T14:29:47Z,https://api.github.com/repos/PhilJay/MPAndroidChart/releases
eugenp/tutorials,37108,2013-04-29T18:26:36Z,https://api.github.com/repos/eugenp/tutorials/releases
alibaba/arthas,36102,2018-08-29T17:15:57Z,https://api.github.com/repos/alibaba/arthas/releases
